,customer_name,customer_email,country,gender,age,annual_salary,credit_card_debt,net_worth,car_purchase_amount,customer_email_suffix,region,population,area_sq_mi,pop_density_per_sq_mi,coastline_coastarea_ratio,net_migration,infant_mortality_per_1000_births,gdp__per_capita,literacy_,phones_per_1000,arable_,crops_,other_,climate,birthrate,deathrate,agriculture,industry,service
86,Holmes Lane,ac.orci@accumsaninterdum.co.uk,Laos,1,43.38998458,71716.45662,8870.714301,165866.2,39503.38829,.co.uk,ASIA (EX. NEAR EAST)         ,6368481,236800,26.9,0.0,0.0,85.22,1700.0,66.4,14.1,3.8,0.35,95.85,2.0,35.49,11.55,0.455,0.287,0.258
87,Emerald Hamilton,sit.amet.orci@facilisis.edu,Egypt,0,48.92140102,68502.10943,5831.118245,515084.1891,52474.71839,.edu,NORTHERN AFRICA                    ,78887007,1001450,78.8,0.24,-0.22,32.59,4000.0,57.7,131.8,2.87,0.48,96.65,1.0,22.94,5.23,0.149,0.357,0.493
88,Gage Marquez,malesuada.vel@dictum.co.uk,Guam,0,43.14281871,46261.42666,16767.2636,759479.4596,42187.6828,.co.uk,OCEANIA                            ,171019,541,316.1,23.2,0.0,6.94,21000.0,99.0,492.0,9.09,16.36,74.55,2.0,18.79,4.48,0.0,0.0,0.0
89,Travis Burks,dictum@liberolacusvarius.ca,Namibia,1,52.65668022,61858.19077,5189.083564,706977.053,57441.44414,.ca,SUB-SAHARAN AFRICA                 ,2044147,825418,2.5,0.19,0.0,48.98,7200.0,84.0,62.6,0.99,0.0,99.01,1.0,24.32,18.86,0.097,0.315,0.588
90,Otto Oneill,arcu.Morbi.sit@elementum.ca,Mozambique,1,35.62487152,49483.83262,11811.25253,242292.92,22681.71667,.ca,SUB-SAHARAN AFRICA                 ,19686505,801590,24.6,0.31,0.0,130.79,1200.0,47.8,3.5,5.1,0.3,94.6,2.0,35.18,21.35,0.262,0.348,0.39
91,Brian Mathews,vulputate.mauris.sagittis@orciluctus.com,Bhutan,1,30.49235339,68289.18229,7357.787011,404457.3099,33640.73697,.com,ASIA (EX. NEAR EAST)         ,2279723,47000,48.5,0.0,0.0,100.44,1300.0,42.2,14.3,3.09,0.43,96.48,2.0,33.65,12.7,0.258,0.379,0.363
92,Ralph Rich,et@tellus.edu,Tuvalu,0,37.37157248,47399.22827,14562.64194,537744.1324,31540.77868,.edu,OCEANIA                            ,11810,26,454.2,92.31,0.0,20.03,1100.0,0.0,59.3,0.0,0.0,100.0,2.0,22.18,7.11,0.166,0.272,0.562
93,Yasir Tyler,pharetra.sed.hendrerit@adipiscinglobortisrisus.edu,Qatar,0,48.47639595,63975.0609,10614.85449,891439.8761,60461.24268,.edu,NEAR EAST                          ,885359,11437,77.4,4.92,16.29,18.61,21500.0,82.5,232.0,1.64,0.27,98.09,1.0,15.56,4.72,0.002,0.801,0.197
94,Dominic Mcintosh,Cras.vehicula@nibhPhasellusnulla.net,Venezuela,0,43.77824898,75460.52362,6280.929547,296972.4085,45738.3343,.net,LATIN AMER. & CARIB    ,25730435,912050,28.2,0.31,-0.04,22.2,4800.0,93.4,140.1,2.95,0.92,96.13,2.0,18.71,4.92,0.04,0.419,0.541
95,Tanner Ward,diam@orciUt.ca,Togo,0,41.7960136,51075.46118,12416.84845,450402.2932,34803.82395,.ca,SUB-SAHARAN AFRICA                 ,5548702,56785,97.7,0.1,0.0,66.61,1500.0,60.9,10.6,46.15,2.21,51.64,2.0,37.01,9.83,0.395,0.204,0.401
96,Wing Gray,urna.nec@tempusscelerisquelorem.org,Nepal,1,49.59716524,42433.54619,7335.524826,386057.421,34642.6024,.org,ASIA (EX. NEAR EAST)         ,28287147,147181,192.2,0.0,0.0,66.98,1400.0,45.2,15.9,21.68,0.64,77.68,0.0,30.98,9.31,0.38,0.21,0.41
97,Lionel Mcclure,odio.auctor.vitae@placeratorcilacus.edu,Saudi Arabia,1,30.34945876,61922.8971,10366.50326,323453.2022,27586.71854,.edu,NEAR EAST                          ,27019731,1960582,13.8,0.13,-2.71,13.24,11800.0,78.8,140.6,1.67,0.09,98.24,1.0,29.34,2.58,0.033,0.613,0.354
98,Wing Parks,sagittis@magnased.ca,San Marino,1,41.85495363,69946.93924,9010.648633,778537.2095,54973.02495,.ca,WESTERN EUROPE                     ,29251,61,479.5,0.0,10.98,5.73,34600.0,96.0,704.3,16.67,0.0,83.33,0.0,10.02,8.17,0.0,0.0,0.0
99,Oleg Gordon,Nunc.sollicitudin.commodo@blanditat.co.uk,Saint Lucia,1,46.07172662,73476.42249,9656.806156,386287.0208,49142.51174,.co.uk,LATIN AMER. & CARIB    ,168458,616,273.5,25.65,-2.67,13.53,5400.0,67.0,303.3,6.56,22.95,70.49,2.0,19.68,5.08,0.07,0.2,0.73
100,Jamal Stephenson,lorem.lorem@in.edu,Vanuatu,1,55.15697275,75571.20188,12887.54899,416540.299,58840.53964,.edu,OCEANIA                            ,208869,12200,17.1,20.72,0.0,55.16,2900.0,53.0,32.6,2.46,7.38,90.16,2.0,22.72,7.82,0.26,0.12,0.62
101,Kadeem Larsen,ornare.lectus.ante@lectusNullam.net,United Arab Emirates,0,43.62606334,82573.01132,1696.989764,562605.0655,57306.32866,.net,NEAR EAST                          ,2602713,82880,31.4,1.59,1.03,14.51,23200.0,77.9,475.3,0.6,2.25,97.15,1.0,18.96,4.4,0.04,0.585,0.375
102,Todd Maldonado,dui.semper.et@aultricies.net,Solomon Islands,0,58.46660793,50649.64492,11211.72016,565932.1861,51941.6756,.net,OCEANIA                            ,552438,28450,19.4,18.67,0.0,21.29,1700.0,0.0,13.4,0.64,2.0,97.36,2.0,30.01,3.92,0.42,0.11,0.47
103,Victor Yang,arcu.Vivamus.sit@egestasSed.com,Andorra,1,42.10214563,53427.46192,7903.103591,238529.6336,30240.60975,.com,WESTERN EUROPE                     ,71201,468,152.1,0.0,6.6,4.05,19000.0,100.0,497.2,2.22,0.0,97.78,3.0,8.71,6.25,0.0,0.0,0.0
104,Quamar Cummings,mauris@convallisconvallisdolor.co.uk,Argentina,1,56.85236475,75247.18061,13258.46631,659279.2011,67120.89878,.co.uk,LATIN AMER. & CARIB    ,39921833,2766890,14.4,0.18,0.61,15.18,11200.0,97.1,220.4,12.31,0.48,87.21,3.0,16.73,7.55,0.095,0.358,0.547
105,Dominic Hughes,cursus.vestibulum.Mauris@pedenonummy.com,Nepal,1,43.03106903,69175.19403,6039.594519,325701.4083,42408.02625,.com,ASIA (EX. NEAR EAST)         ,28287147,147181,192.2,0.0,0.0,66.98,1400.0,45.2,15.9,21.68,0.64,77.68,0.0,30.98,9.31,0.38,0.21,0.41
106,Lamar Hensley,erat@pedeac.co.uk,Japan,0,34.68196128,84171.16719,12719.64415,244310.5736,41451.71843,.co.uk,ASIA (EX. NEAR EAST)         ,127463611,377835,337.4,7.87,0.0,3.26,28200.0,99.0,461.2,12.19,0.96,86.85,3.0,9.37,9.16,0.017,0.258,0.725
107,Solomon Atkinson,Aliquam@laoreet.net,Israel,0,42.91579507,45721.66835,14250.52398,790526.5507,42592.88647,.net,NEAR EAST                          ,6352117,20770,305.8,1.31,0.68,7.03,19800.0,95.4,462.3,16.39,4.17,79.44,3.0,17.97,6.18,0.026,0.317,0.657
108,Vernon Kidd,sapien.imperdiet.ornare@vitaeerat.edu,Macedonia,1,34.49805732,77206.48386,8493.098575,411070.4828,42213.69644,.edu,EASTERN EUROPE                     ,2050554,25333,80.9,0.0,-1.45,10.09,6700.0,0.0,260.0,22.26,1.81,75.93,3.0,12.02,8.77,0.118,0.319,0.563
109,Dolan Clayton,justo@est.ca,Liechtenstein,0,47.74046488,57005.18595,12416.79083,408147.0405,41913.53713,.ca,WESTERN EUROPE                     ,33987,160,212.4,0.0,4.85,4.7,25000.0,100.0,585.5,25.0,0.0,75.0,4.0,10.21,7.18,0.06,0.39,0.55
110,Marvin Deleon,lectus.Nullam@congueelitsed.ca,Mayotte,1,52.86426773,65809.10782,4820.839445,692401.4668,59416.18101,.ca,SUB-SAHARAN AFRICA                 ,201234,374,538.1,49.52,6.78,62.4,2600.0,0.0,49.7,0.0,0.0,0.0,2.0,40.95,7.7,0.0,0.0,0.0
111,Merrill Bailey,natoque.penatibus@nislsem.net,Ecuador,0,47.14546675,65468.1442,7248.54142,588570.8903,51402.61506,.net,LATIN AMER. & CARIB    ,13547510,283560,47.8,0.79,-8.58,23.66,3300.0,92.5,125.6,5.85,4.93,89.22,2.0,22.29,4.23,0.07,0.312,0.618
112,Adrian Brock,Cras.lorem@nonvestibulumnec.net,Benin,0,54.19945546,60991.82443,7329.22851,586368.9293,54755.42038,.net,SUB-SAHARAN AFRICA                 ,7862944,112620,69.8,0.11,0.0,85.0,1100.0,40.9,9.7,18.08,2.4,79.52,2.0,38.85,12.22,0.316,0.138,0.546
113,Rigel Craft,diam.eu.dolor@Proin.com,Liechtenstein,0,50.75725473,61809.07451,2620.079459,407733.5229,47143.44008,.com,WESTERN EUROPE                     ,33987,160,212.4,0.0,4.85,4.7,25000.0,100.0,585.5,25.0,0.0,75.0,4.0,10.21,7.18,0.06,0.39,0.55
114,Chaim Lewis,luctus@ut.org,Liberia,0,59.46215292,66905.47644,10077.49592,651215.6435,64391.68906,.org,SUB-SAHARAN AFRICA                 ,3042004,111370,27.3,0.52,0.0,128.87,1000.0,57.5,2.3,3.95,2.28,93.77,2.0,44.77,23.1,0.769,0.054,0.177
115,Ulysses Craig,sit.amet@orci.ca,Laos,1,51.03125632,83626.30783,8458.749819,167031.5554,52665.36511,.ca,ASIA (EX. NEAR EAST)         ,6368481,236800,26.9,0.0,0.0,85.22,1700.0,66.4,14.1,3.8,0.35,95.85,2.0,35.49,11.55,0.455,0.287,0.258
116,Nolan Nixon,arcu@etultricesposuere.co.uk,Iraq,0,39.84482154,64328.27892,13860.43821,567357.0264,44001.20706,.co.uk,NEAR EAST                          ,26783383,437072,61.3,0.01,0.0,50.25,1500.0,40.4,38.6,13.15,0.78,86.07,1.0,31.98,5.37,0.073,0.666,0.261
117,Oren Rosario,ultrices.Vivamus.rhoncus@lacusMauris.net,Slovenia,1,53.38095524,69255.98753,18361.24915,339207.2774,51551.67997,.net,EASTERN EUROPE                     ,2010347,20273,99.2,0.23,1.12,4.45,19000.0,99.7,406.1,8.6,1.49,89.91,0.0,8.98,10.31,0.028,0.369,0.603
118,Hector Bowers,eget@Morbiquisurna.co.uk,Maldives,1,45.01374936,60575.12604,8088.344365,291360.0291,38243.66481,.co.uk,ASIA (EX. NEAR EAST)         ,359008,300,1196.7,214.67,0.0,56.52,3900.0,97.2,90.0,13.33,16.67,70.0,2.0,34.81,7.06,0.2,0.18,0.62
119,Tate Molina,erat@sitamet.ca,Qatar,0,45.40244083,63729.12568,12507.19736,271430.0543,39766.64804,.ca,NEAR EAST                          ,885359,11437,77.4,4.92,16.29,18.61,21500.0,82.5,232.0,1.64,0.27,98.09,1.0,15.56,4.72,0.002,0.801,0.197
120,Julian Alexander,Integer.id.magna@consequatenimdiam.co.uk,Guinea,0,37.40628431,64315.73671,14871.36126,502946.8819,40077.57289,.co.uk,SUB-SAHARAN AFRICA                 ,9690222,245857,39.4,0.13,-3.06,90.37,2100.0,35.9,2.7,3.63,2.58,93.79,2.0,41.76,15.48,0.237,0.362,0.401
121,Lucian Medina,rutrum@temporbibendum.com,Aruba,0,42.60482241,51419.01644,9026.061543,362564.346,33131.52734,.com,LATIN AMER. & CARIB    ,71891,193,372.5,35.49,0.0,5.89,28000.0,97.0,516.1,10.53,0.0,89.47,2.0,11.03,6.68,0.004,0.333,0.663
122,Todd Bass,Lorem.ipsum.dolor@et.edu,Lebanon,0,47.69031054,53870.48483,14720.53399,701782.528,48622.66097,.edu,NEAR EAST                          ,3874050,10400,372.5,2.16,0.0,24.52,4800.0,87.4,255.6,16.62,13.98,69.4,0.0,18.52,6.21,0.12,0.21,0.67
123,Mannix Snow,elit@euismodenim.net,Monaco,0,48.7314504,56895.23153,9851.578109,580950.3967,47693.23482,.net,WESTERN EUROPE                     ,32543,2,16271.5,205.0,7.75,5.43,27000.0,99.0,1035.6,0.0,0.0,100.0,0.0,9.19,12.91,0.17,0.0,0.0
124,Benedict Serrano,blandit.viverra@mollisDuis.co.uk,Argentina,1,47.96813163,52534.20778,7583.753853,401955.501,39410.4616,.co.uk,LATIN AMER. & CARIB    ,39921833,2766890,14.4,0.18,0.61,15.18,11200.0,97.1,220.4,12.31,0.48,87.21,3.0,16.73,7.55,0.095,0.358,0.547
125,Yoshio Potter,fringilla.cursus.purus@dolorvitae.ca,Martinique,1,44.50599147,52632.97124,12348.67783,293999.9427,33428.40183,.ca,LATIN AMER. & CARIB    ,436131,1100,396.5,31.82,-0.05,7.09,14400.0,97.7,394.4,10.38,9.43,80.19,2.0,13.74,6.48,0.06,0.11,0.83
126,Stone Koch,facilisis.Suspendisse@Duissit.ca,Guadeloupe,1,43.05947066,42375.21424,6062.60136,510039.1484,32700.27871,.ca,LATIN AMER. & CARIB    ,452776,1780,254.4,17.19,-0.15,8.6,8000.0,90.0,463.8,11.24,3.55,85.21,2.0,15.05,6.09,0.15,0.17,0.68
127,Elliott Horne,sollicitudin.adipiscing.ligula@Sedeu.co.uk,San Marino,0,61.6304836,65617.29175,14392.28833,560593.416,62864.43011,.co.uk,WESTERN EUROPE                     ,29251,61,479.5,0.0,10.98,5.73,34600.0,96.0,704.3,16.67,0.0,83.33,0.0,10.02,8.17,0.0,0.0,0.0
128,Tanner Johnson,blandit.at@vulputateullamcorpermagna.org,Kiribati,1,46.02807589,49398.74439,6994.617316,174525.8426,29425.83001,.org,OCEANIA                            ,105432,811,130.0,140.94,0.0,48.52,800.0,0.0,42.7,2.74,50.68,46.58,2.0,30.65,8.26,0.089,0.242,0.668
129,Gabriel Carson,et@venenatis.co.uk,Equatorial Guinea,0,51.22247207,63869.64928,12860.65824,260269.0963,44418.60955,.co.uk,SUB-SAHARAN AFRICA                 ,540109,28051,19.3,1.06,0.0,85.13,2700.0,85.7,18.5,4.63,3.57,91.8,2.0,35.59,15.06,0.03,0.906,0.062
130,Cain Love,est.mollis.non@placerat.com,South Africa,1,43.89487464,60871.18248,4397.947571,262959.2506,36645.5609,.com,SUB-SAHARAN AFRICA                 ,44187637,1219912,36.2,0.23,-0.29,61.81,10700.0,86.4,107.0,12.08,0.79,87.13,1.0,18.2,22.0,0.025,0.303,0.671
131,Barry Larsen,Praesent.eu.dui@bibendumsed.com,Wallis and Futuna,0,57.45859813,68090.5087,6181.970908,316064.0338,53655.53859,.com,OCEANIA                            ,16025,274,58.5,47.08,0.0,0.0,3700.0,50.0,118.6,5.0,25.0,70.0,2.0,0.0,0.0,0.0,0.0,0.0
132,Lawrence Ryan,condimentum@duilectus.co.uk,Tunisia,0,59.77886094,54122.87827,15164.87506,254617.2609,45977.12502,.co.uk,NORTHERN AFRICA                    ,10175014,163610,62.2,0.7,-0.57,24.77,6900.0,74.2,123.6,17.86,13.74,68.4,3.0,15.52,5.13,0.132,0.318,0.55
133,Allen Burke,eu.ultrices@In.edu,Pakistan,1,38.60885156,59316.93704,12296.34158,510811.3695,38504.39444,.edu,ASIA (EX. NEAR EAST)         ,165803560,803940,206.2,0.13,-2.77,72.44,2100.0,45.7,31.8,27.87,0.87,71.26,1.0,29.74,8.23,0.216,0.251,0.533
134,Nero Morgan,non.sapien@seddictumeleifend.edu,Bahrain,0,61.10319817,38779.18396,12758.89583,581497.8874,47935.9394,.edu,NEAR EAST                          ,698585,665,1050.5,24.21,1.05,17.27,16900.0,89.1,281.3,2.82,5.63,91.55,1.0,17.8,4.14,0.005,0.387,0.608
135,Reuben Holden,pede.nonummy@Vivamusnonlorem.co.uk,Macedonia,1,49.61576865,88292.73205,10799.1381,378357.9385,60222.22672,.co.uk,EASTERN EUROPE                     ,2050554,25333,80.9,0.0,-1.45,10.09,6700.0,0.0,260.0,22.26,1.81,75.93,3.0,12.02,8.77,0.118,0.319,0.563
136,Orson Hyde,gravida.sit@eget.net,Djibouti,1,37.49764004,68688.40199,15796.31838,375889.6381,38930.55234,.net,SUB-SAHARAN AFRICA                 ,486530,23000,21.2,1.37,0.0,104.13,1300.0,67.9,22.8,0.04,0.0,99.96,1.0,39.53,19.31,0.179,0.225,0.596
137,Nolan Conner,feugiat@felisNulla.org,Bolivia,1,45.49732494,51906.85022,13686.96935,85520.85055,27810.21814,.org,LATIN AMER. & CARIB    ,8989046,1098580,8.2,0.0,-1.32,53.11,2400.0,87.2,71.9,2.67,0.19,97.14,1.5,23.3,7.53,0.128,0.352,0.52
138,Stuart Reed,elementum@SeddictumProin.net,Serbia,1,49.83912893,52373.79446,11347.62967,633383.4925,47604.34591,.net,EASTERN EUROPE                     ,9396411,88361,106.3,0.0,-1.33,12.89,2200.0,93.0,285.8,33.35,3.2,63.45,0.0,0.0,0.0,0.166,0.255,0.579
139,Dieter Delaney,sit.amet.risus@ipsum.ca,Peru,0,33.77526933,55576.84068,9396.008371,475126.1252,31300.54347,.ca,LATIN AMER. & CARIB    ,28302603,1285220,22.0,0.19,-1.05,31.94,5100.0,90.9,79.5,2.89,0.4,96.71,1.5,20.48,6.23,0.08,0.27,0.65
140,Hop Farley,in@et.co.uk,Austria,1,45.05203632,59689.81438,14862.84011,449895.3046,42369.64247,.co.uk,WESTERN EUROPE                     ,8192880,83870,97.7,0.0,2.0,4.66,30000.0,98.0,452.2,16.91,0.86,82.23,3.0,8.74,9.76,0.018,0.304,0.678
141,Baker Saunders,Aliquam.nisl@hendreritidante.org,Lithuania,0,51.3001589,34154.77654,5316.010491,216355.3406,26499.31418,.org,BALTICS                            ,3585906,65200,55.0,0.14,-0.71,6.89,11400.0,99.6,223.4,45.22,0.91,53.87,0.0,8.75,10.98,0.055,0.325,0.62
142,Marvin Garner,in@sed.org,Djibouti,0,34.16409192,65919.59731,7594.363993,543789.7212,39433.40631,.org,SUB-SAHARAN AFRICA                 ,486530,23000,21.2,1.37,0.0,104.13,1300.0,67.9,22.8,0.04,0.0,99.96,1.0,39.53,19.31,0.179,0.225,0.596
143,Sebastian Marks,et.eros@feugiatmetussit.net,Zimbabwe,0,55.98961549,39488.45582,10992.33383,363561.1972,37714.31659,.net,SUB-SAHARAN AFRICA                 ,12236805,390580,31.3,0.0,0.0,67.69,1900.0,90.7,26.8,8.32,0.34,91.34,2.0,28.01,21.84,0.179,0.243,0.579
144,Hector Price,Aliquam.nisl@semegetmassa.co.uk,Martinique,1,57.28482392,72637.84482,14938.50613,352507.9012,57125.41541,.co.uk,LATIN AMER. & CARIB    ,436131,1100,396.5,31.82,-0.05,7.09,14400.0,97.7,394.4,10.38,9.43,80.19,2.0,13.74,6.48,0.06,0.11,0.83
145,Holmes Irwin,Nunc.sed.orci@Namligulaelit.net,Mauritius,1,47.65948559,67247.07698,9851.689538,368344.0637,46453.34819,.net,SUB-SAHARAN AFRICA                 ,1240827,2040,608.3,8.68,-0.9,15.03,11400.0,85.6,289.3,49.26,2.96,47.78,2.0,15.43,6.86,0.059,0.298,0.643
146,Trevor Faulkner,ut@vitaesodales.net,Uganda,0,40.41469076,71271.84407,13122.45694,411045.8332,43855.06077,.net,SUB-SAHARAN AFRICA                 ,28195754,236040,119.5,0.0,0.0,67.83,1400.0,69.9,3.6,25.88,10.65,63.47,2.0,47.35,12.24,0.311,0.222,0.469
147,Gannon Nguyen,et.rutrum.eu@congue.net,Kenya,0,50.41432737,71693.44742,14421.48298,517480.0937,55592.70383,.net,SUB-SAHARAN AFRICA                 ,34707817,582650,59.6,0.09,-0.1,61.47,1000.0,85.1,8.1,8.08,0.98,90.94,1.5,39.72,14.02,0.163,0.188,0.651
148,Quentin Randall,Fusce.aliquet@egetmassa.co.uk,Macau,0,46.54726629,57860.53103,7146.192574,445745.5544,42484.02283,.co.uk,ASIA (EX. NEAR EAST)         ,453125,28,16183.0,146.43,4.86,4.39,19400.0,94.5,384.9,0.0,0.0,100.0,2.0,8.48,4.47,0.001,0.072,0.927
149,Baker Norton,convallis@purus.net,Jersey,1,38.7080482,69142.08412,8707.511532,399124.4489,40879.19107,.net,WESTERN EUROPE                     ,91084,116,785.2,60.34,2.76,5.24,24800.0,0.0,811.3,0.0,0.0,100.0,3.0,9.3,9.28,0.05,0.02,0.93
150,Hakeem Mendoza,Maecenas@scelerisquelorem.ca,Kuwait,1,36.195148,52477.66494,12071.41684,97706.89181,20653.21409,.ca,NEAR EAST                          ,2418393,17820,135.7,2.8,14.18,9.95,19000.0,83.5,211.0,0.73,0.11,99.16,1.0,21.94,2.41,0.004,0.479,0.516
151,Peter Maynard,vel.est.tempor@egetvenenatisa.com,Guinea,1,44.10061144,47592.04749,13167.65763,473101.0273,35438.80549,.com,SUB-SAHARAN AFRICA                 ,9690222,245857,39.4,0.13,-3.06,90.37,2100.0,35.9,2.7,3.63,2.58,93.79,2.0,41.76,15.48,0.237,0.362,0.401
152,Devin Humphrey,sodales.Mauris@ametornare.ca,Greece,0,46.86775698,48123.36983,921.5340234,405550.1689,36112.79346,.ca,WESTERN EUROPE                     ,10688058,131940,81.0,10.37,2.35,5.53,20000.0,97.5,589.7,21.1,8.78,70.12,3.0,9.68,10.24,0.054,0.213,0.733
153,Graiden Powell,pellentesque.tellus@faucibusidlibero.com,Thailand,1,42.43201208,65714.46469,12557.08133,362707.0273,41026.02421,.com,ASIA (EX. NEAR EAST)         ,64631595,514000,125.7,0.63,0.0,20.48,7400.0,92.6,108.9,29.36,6.46,64.18,2.0,13.87,7.04,0.099,0.441,0.46
154,Chancellor Padilla,pharetra@nuncsedlibero.edu,"Bahamas, The",1,47.44707409,40346.06491,11505.89906,255922.473,27889.95197,.edu,LATIN AMER. & CARIB    ,303770,13940,21.8,25.41,-2.2,25.21,16700.0,95.6,460.6,0.8,0.4,98.8,2.0,17.57,9.05,0.03,0.07,0.9
155,Philip Barnes,senectus.et.netus@nibhDonecest.net,Latvia,0,40.14234782,71148.20248,7917.65097,416817.4673,43724.4896,.net,BALTICS                            ,2274735,64589,35.2,0.82,-2.23,9.55,10200.0,99.8,321.4,29.67,0.47,69.86,3.0,9.24,13.66,0.04,0.261,0.699
156,Cameron Cash,auctor@ipsum.org,Hong Kong,1,54.11381978,81757.66856,7500.778414,278181.8354,57430.76903,.org,ASIA (EX. NEAR EAST)         ,6940432,1092,6355.7,67.12,5.24,2.97,28800.0,93.5,546.7,5.05,1.01,93.94,2.0,7.29,6.29,0.001,0.092,0.906
157,Eric Green,arcu.vel.quam@magnaPraesentinterdum.co.uk,French Polynesia,0,38.41372649,64867.14911,13962.95284,498441.5687,41104.07108,.co.uk,OCEANIA                            ,274578,4167,65.9,60.6,2.94,8.44,17500.0,98.0,194.5,0.82,5.46,93.72,2.0,16.68,4.69,0.031,0.19,0.769
158,Tanek Koch,blandit@nunc.org,Sierra Leone,0,40.42154558,70051.94033,4701.316175,613706.5421,49050.85378,.org,SUB-SAHARAN AFRICA                 ,6005250,71740,83.7,0.56,0.0,143.64,500.0,31.4,4.0,6.98,0.89,92.13,2.0,45.76,23.03,0.49,0.31,0.21
159,Phelan Montoya,magna.tellus.faucibus@etmalesuadafames.co.uk,Yemen,0,51.03137709,85186.48921,12413.0319,546630.5284,64545.16339,.co.uk,NEAR EAST                          ,21456188,527970,40.6,0.36,0.0,61.5,800.0,50.2,37.2,2.78,0.24,96.98,1.0,42.89,8.3,0.135,0.472,0.393
160,Palmer Cohen,non.leo@mollis.net,United Kingdom,1,33.97602872,61177.08698,9837.222432,340663.3261,30719.8156,.net,WESTERN EUROPE                     ,60609153,244820,247.6,5.08,2.19,5.16,27700.0,99.0,543.5,23.46,0.21,76.33,3.0,10.71,10.13,0.005,0.237,0.758
161,Ahmed Wright,consectetuer@auctorodio.com,Singapore,1,50.24618129,57770.36488,8628.434025,211765.2494,38763.11306,.com,ASIA (EX. NEAR EAST)         ,4492150,693,6482.2,27.85,11.53,2.29,23700.0,92.5,411.4,1.64,0.0,98.36,2.0,9.34,4.28,0.0,0.339,0.661
162,Burton Carroll,rhoncus.id.mollis@Maurisvel.org,Algeria,0,42.144445,60432.40367,11417.46257,415005.3584,39331.20127,.org,NORTHERN AFRICA                    ,32930091,2381740,13.8,0.04,-0.39,31.0,6000.0,70.0,78.1,3.22,0.25,96.53,1.0,17.14,4.61,0.101,0.6,0.298
163,Nero Miranda,semper@vulputateposuere.net,Bhutan,1,32.92895606,58999.88858,6904.420412,478422.7973,32608.45468,.net,ASIA (EX. NEAR EAST)         ,2279723,47000,48.5,0.0,0.0,100.44,1300.0,42.2,14.3,3.09,0.43,96.48,2.0,33.65,12.7,0.258,0.379,0.363
164,Ali Strong,dis.parturient.montes@eratvel.com,Wallis and Futuna,1,56.07496279,62645.95516,11431.22966,613242.1668,58045.56257,.com,OCEANIA                            ,16025,274,58.5,47.08,0.0,0.0,3700.0,50.0,118.6,5.0,25.0,70.0,2.0,0.0,0.0,0.0,0.0,0.0
165,Kieran Gilliam,ac.nulla@consectetueripsumnunc.co.uk,Bolivia,0,50.75886005,42415.48867,5205.008323,520997.2385,39522.13129,.co.uk,LATIN AMER. & CARIB    ,8989046,1098580,8.2,0.0,-1.32,53.11,2400.0,87.2,71.9,2.67,0.19,97.14,1.5,23.3,7.53,0.128,0.352,0.52
166,Malachi Henson,adipiscing.elit@Nunc.com,Croatia,1,52.68904044,72226.5603,5817.153854,623033.482,60865.76396,.com,EASTERN EUROPE                     ,4494749,56542,79.5,10.32,1.58,6.84,10600.0,98.5,420.4,26.09,2.27,71.65,0.0,9.61,11.48,0.07,0.308,0.622
167,Seth Massey,in.aliquet@fermentumvel.com,Jordan,1,51.27542204,48958.90535,2418.86434,615672.4681,46380.44732,.com,NEAR EAST                          ,5906760,92300,64.0,0.03,6.59,17.35,4300.0,91.3,104.5,2.67,1.83,95.5,1.0,21.25,2.65,0.033,0.287,0.68
168,Ulric Robles,fringilla@ornare.edu,Malta,1,48.24884664,86067.83527,9181.06743,335652.6234,56579.90338,.edu,WESTERN EUROPE                     ,400214,316,1266.5,62.28,2.07,3.89,17700.0,92.8,505.0,28.13,3.13,68.74,0.0,10.22,8.1,0.03,0.23,0.74
169,Gannon Marquez,Aliquam@porttitor.net,Mauritania,1,41.17366372,65554.4018,12026.57975,462613.8587,42774.35579,.net,SUB-SAHARAN AFRICA                 ,3177388,1030700,3.1,0.07,0.0,70.89,1800.0,41.7,12.9,0.48,0.01,99.51,1.0,40.99,12.16,0.25,0.29,0.46
170,Marshall Armstrong,ipsum.cursus.vestibulum@a.com,Guyana,0,38.55101952,69248.4953,6445.784981,298246.0609,37879.65385,.com,LATIN AMER. & CARIB    ,767245,214970,3.6,0.21,-2.07,33.26,4000.0,98.8,143.5,2.44,0.15,97.41,2.0,18.28,8.28,0.37,0.203,0.427
171,Christian Huffman,dignissim.Maecenas@tinciduntnuncac.co.uk,Laos,0,45.44389242,59331.23555,10027.53449,543313.3454,45208.42539,.co.uk,ASIA (EX. NEAR EAST)         ,6368481,236800,26.9,0.0,0.0,85.22,1700.0,66.4,14.1,3.8,0.35,95.85,2.0,35.49,11.55,0.455,0.287,0.258
172,Gil Sanders,eu.ultrices@cursuset.net,Haiti,0,70.0,52323.2448,12438.85648,346555.1716,56229.4127,.net,LATIN AMER. & CARIB    ,8308504,27750,299.4,6.38,-3.4,73.45,1600.0,52.9,16.9,28.3,11.61,60.09,2.0,36.44,12.17,0.28,0.2,0.52
173,Moses Blackburn,et.malesuada.fames@musProin.edu,Madagascar,0,50.96113207,75116.10613,5969.666602,232607.3907,49721.31082,.edu,SUB-SAHARAN AFRICA                 ,18595469,587040,31.7,0.82,0.0,76.83,800.0,68.9,3.6,5.07,1.03,93.91,2.0,41.41,11.11,0.276,0.165,0.559
